SIMULATION,113.6103115,22.3796795,91.8,5.4,54.2,5.0,1.00,0.02
SIMULATION,113.6103212,22.3796793,91.9,5.4,55.2,5.0,1.00,0.01
SIMULATION,113.6103309,22.3796790,92.0,5.4,56.2,5.0,1.00,0.01
SIMULATION,113.6103406,22.3796786,92.0,5.3,57.2,5.0,1.00,0.00
SIMULATION,113.6103504,22.3796783,92.0,5.3,58.2,5.0,1.00,0.00
SIMULATION,113.6103601,22.3796780,92.0,5.3,59.2,5.0,1.00,0.00
SIMULATION,113.6103698,22.3796777,92.1,5.2,60.2,5.0,1.00,0.00
SIMULATION,113.6103795,22.3796774,92.1,5.2,61.2,5.0,1.00,0.00
SIMULATION,113.6103892,22.3796770,92.1,5.2,62.2,5.0,1.00,0.00
SIMULATION,113.6103989,22.3796767,92.1,5.1,63.2,5.0,1.00,0.00
SIMULATION,113.6104086,22.3796764,92.1,5.1,64.2,5.0,1.00,0.00
SIMULATION,113.6104183,22.3796761,92.1,5.1,65.2,5.0,1.00,0.00
SIMULATION,113.6104280,22.3796758,92.1,5.0,66.2,5.0,1.00,-0.00
SIMULATION,113.6104377,22.3796754,92.1,5.0,67.2,5.0,1.00,0.00
SIMULATION,113.6104474,22.3796751,92.1,5.0,68.2,5.0,1.00,0.00
SIMULATION,113.6104572,22.3796748,92.1,4.9,69.2,5.0,1.00,0.00
SIMULATION,113.6104669,22.3796745,92.1,4.9,70.2,5.0,1.00,-0.00
SIMULATION,113.6104766,22.3796741,92.1,4.8,71.2,5.0,1.00,-0.00
SIMULATION,113.6104863,22.3796738,92.1,4.8,72.2,5.0,1.00,0.00
SIMULATION,113.6104960,22.3796735,92.1,4.8,73.2,5.0,1.00,0.00
SIMULATION,113.6105057,22.3796732,92.1,4.7,74.2,5.0,1.00,-0.00
SIMULATION,113.6105154,22.3796728,92.1,4.7,75.2,5.0,1.00,-0.00
SIMULATION,113.6105251,22.3796725,92.1,4.7,76.2,5.0,1.00,0.00
SIMULATION,113.6105348,22.3796722,92.1,4.6,77.2,5.0,1.00,0.00
SIMULATION,113.6105445,22.3796719,92.1,4.6,78.2,5.0,1.00,-0.00
SIMULATION,113.6105542,22.3796716,92.1,4.6,79.2,5.0,1.00,-0.00
SIMULATION,113.6105639,22.3796712,92.1,4.5,80.2,5.0,1.00,0.00
SIMULATION,113.6105737,22.3796709,92.1,4.5,81.2,5.0,1.00,0.00
SIMULATION,113.6105834,22.3796706,92.1,4.5,82.2,5.0,1.00,0.00
SIMULATION,113.6105931,22.3796703,92.1,4.4,83.2,5.0,1.00,-0.00
